19.0,15.0
15.0,16.0
20.0,17.0
16.0,10.0
20.0,15.0
12.0,15.0
20.0,20.0
20.0,25.0
15.0,16.0
26.0,15.0
20.0,17.0
20.0,20.0
20.0,20.0
19.0,15.0
15.0,16.0
20.0,20.0
20.0,20.0
20.0,25.0
20.0,25.0
15.0,15.0
15.0,20.0
18.0,20.0
16.0,15.0
20.0,18.0
20.0,20.0
20.0,20.0
12.0,18.0
15.0,13.0
15.0,20.0
22.0,17.0
15.0,20.0
16.0,18.0
20.0,19.0
20.0,20.0
20.0,17.0
20.0,20.0
15.0,13.0
20.0,25.0
15.0,5.0
12.0,15.0
15.0,15.0
20.0,19.0
20.0,20.0
20.0,17.0
18.0,17.0
20.0,21.0
20.0,17.0
20.0,15.0
20.0,18.0
20.0,18.0
21.0,20.0
20.0,16.0
20.0,20.0
27.0,20.0
22.0,13.0
30.0,21.0
20.0,20.0
15.0,16.0
20.0,18.0
20.0,15.0
16.0,15.0
20.0,18.0
15.0,20.0
20.0,18.0
20.0,15.0
16.0,17.0
20.0,13.0
23.0,21.0
15.0,11.0
20.0,20.0
15.0,20.0
20.0,20.0
20.0,20.0
20.0,15.0
22.0,20.0
20.0,15.0
22.0,15.0
26.0,20.0
22.0,21.0
23.0,20.0
14.0,10.0
15.0,20.0
15.0,15.0
20.0,16.0
16.0,15.0
19.0,17.0
20.0,15.0
22.0,20.0
22.0,24.0
22.0,15.0
28.0,20.0
12.0,13.0
16.0,18.0
20.0,17.0
20.0,20.0
16.0,15.0
15.0,20.0
20.0,18.0
21.0,18.0
20.0,22.0
15.0,14.0
18.0,20.0
20.0,15.0
15.0,15.0
25.0,20.0
20.0,17.0
23.0,23.0
15.0,15.0
20.0,16.0
23.0,25.0
20.0,23.0
20.0,17.0
20.0,23.0
20.0,18.0
20.0,23.0
17.0,18.0
20.0,17.0
14.0,13.0
15.0,10.0
16.0,15.0
18.0,21.0
17.0,20.0
17.0,20.0
20.0,19.0
20.0,20.0
20.0,16.0
20.0,17.0
14.0,10.0
15.0,15.0
16.0,15.0
20.0,15.0
18.0,25.0
20.0,22.0
20.0,18.0
15.0,17.0
20.0,15.0
17.0,19.0
20.0,20.0
21.0,20.0
20.0,18.0
20.0,15.0
20.0,15.0
20.0,20.0
20.0,20.0
20.0,16.0
30.0,21.0
15.0,20.0
20.0,20.0
15.0,20.0
12.0,16.0
20.0,16.0
20.0,15.0
20.0,17.0
14.0,18.0
20.0,17.0
20.0,23.0
12.0,17.0
20.0,18.0
20.0,15.0
20.0,20.0
20.0,20.0
20.0,20.0
20.0,20.0
15.0,15.0
20.0,25.0
20.0,20.0
23.0,22.0
20.0,17.0
20.0,20.0
22.0,23.0
20.0,20.0
20.0,20.0
20.0,16.0
20.0,20.0
15.0,20.0
20.0,15.0
19.0,18.0
20.0,22.0
16.0,19.0
20.0,20.0
20.0,20.0
15.0,24.0
20.0,20.0
20.0,15.0
15.0,18.0
20.0,20.0
13.0,14.0
14.0,13.0
20.0,20.0
20.0,18.0
20.0,25.0
20.0,17.0
20.0,18.0
16.0,16.0
20.0,20.0
20.0,18.0
20.0,17.0
20.0,16.0
18.0,15.0
20.0,15.0
17.0,20.0
15.0,18.0
15.0,16.0
20.0,16.0
15.0,20.0
16.0,20.0
16.0,18.0
25.0,20.0
30.0,25.0
20.0,19.0
20.0,23.0
15.0,18.0
23.0,20.0
20.0,17.0
20.0,17.0
22.0,22.0
15.0,15.0
20.0,15.0
20.0,20.0
19.0,14.0
20.0,18.0
20.0,11.0
24.0,10.0
20.0,20.0
20.0,20.0
27.0,18.0
15.0,20.0
22.0,18.0
16.0,16.0
20.0,20.0
